Hello World!;;This is the first model added to the project, I've placed it some of the most famous places around the world! If you find yourself in one of them, please give it a try! This is my way to say Welcome to all of my users!;Milan: Dome;45.4641896983635, 9.190245302301324;Rome: Colosseum;41.890443464798764, 12.491508592678828;London: Big Ben;51.50251984919258, -0.1214747465660726;Paris: Eifel Tower;48.85720210078898,2.2962243138711314
Whale;;A wonderful sea creature that will look at you from the coast, this majestic whale will swim in the next to you while you look at the sunset;Salerno: Seaside;40.67127124150153, 14.774263339554828;;;;;;
